word	zipf	dom_pos	all_pos
pitied	2.836	Verb	Verb|Name
pities	2.468	Verb	Verb|Noun
pitiful	3.586	Adjective	Adjective|Name
pitifully	2.438	Adverb	Adverb
pitiless	2.137	Adjective	Adjective
pitilessly	1.769	Adverb	Adverb
pitman	1.991	Name	Name|Noun
pitocin	2.070	Noun	Noun
piton	2.137	Noun	Noun
pitons	2.070	Noun	Noun
pits	3.499	Noun	Noun|Verb
pittance	2.438	Noun	Noun
pitted	2.371	Verb	Verb|Adjective
pitter	1.991	Noun	Noun|Name
pitting	2.406	Verb	Verb|Noun
pituitary	2.810	Noun	Noun|Adjective
pity	4.371	Noun	Noun|Verb
pitying	2.333	Verb	Verb|Noun|Adjective
pityriasis	1.894	Noun	Noun
piu	1.894	Name	Name|Noun
pius	2.292	Name	Name|Noun
piute	1.593	Verb	Verb
pivot	2.672	Verb	Verb|Noun
pivotal	2.945	Adjective	Adjective
pivoting	1.593	Adjective	Adjective
pivots	1.894	Verb	Verb|Noun
pix	2.195	Verb	Verb|Noun|Name
pixel	2.195	Noun	Noun
pixels	2.333	Noun	Noun
pixie	2.925	Noun	Noun
pixies	2.614	Noun	Noun|Name
pixilated	2.496	Verb	Verb|Name
pixy	1.593	Noun	Noun
pizazz	1.769	Verb	Verb|Noun
pizza	4.525	Noun	Noun|Name
pizzas	3.353	Noun	Noun
pizzazz	2.769	Noun	Noun|Verb
pizzeria	2.634	Noun	Noun|Name
pizzicato	2.137	Noun	Noun
pizzle	2.137	Noun	Noun
pk	1.769	Name	Name
pl	3.200	Name	Name|Noun
placard	2.137	Noun	Noun
placards	2.137	Noun	Noun
placate	2.593	Verb	Verb
placated	2.137	Verb	Verb|Adjective
placating	1.991	Verb	Verb|Noun
place	5.779	Noun	Noun|Verb|Preposition|Name
placebo	2.872	Noun	Noun|Name
placebos	2.137	Noun	Noun
placed	4.087	Verb	Verb
placeholder	2.070	Noun	Noun|Verb
placekicker	1.769	Noun	Noun
placement	3.287	Noun	Noun
placements	1.769	Noun	Noun
placenta	2.690	Noun	Noun|Name
placental	1.769	Adjective	Adjective
placentas	1.593	Noun	Noun
placer	1.991	Noun	Noun
places	4.724	Noun	Noun|Verb
placet	1.593	Noun	Noun
placid	2.769	Adjective	Adjective
placing	3.462	Verb	Verb|Noun
plagiarised	1.593	Verb	Verb
plagiarism	2.571	Noun	Noun
plagiarist	1.593	Noun	Noun
plagiarize	1.769	Verb	Verb
plagiarized	1.894	Verb	Verb
plague	3.920	Noun	Noun|Verb
plagued	3.274	Verb	Verb|Adjective
plagues	2.739	Noun	Noun|Verb
plaguey	1.593	Noun	Noun
plaguing	2.292	Verb	Verb
plaice	1.769	Noun	Noun
plaid	3.211	Noun	Noun
plaids	2.292	Noun	Noun
plain	4.339	Adjective	Adjective|Noun|Adverb
plainclothes	2.754	Noun	Noun
plainclothesman	1.593	Noun	Noun
plainclothesmen	1.769	Noun	Noun
plainer	2.070	Adverb	Adverb|Adjective
plainest	1.769	Adjective	Adjective
plainfield	1.593	Noun	Noun
plainly	3.274	Adverb	Adverb
plainness	1.769	Noun	Noun
plains	3.317	Noun	Noun
plaint	1.593	Noun	Noun
plaintiff	3.566	Noun	Noun
plaintiffs	2.894	Noun	Noun
plaintive	2.137	Adjective	Adjective
plaintively	1.593	Adverb	Adverb
plaisanterie	1.593	Noun	Noun
plait	2.754	Noun	Noun|Verb
plan	5.163	Noun	Noun|Verb|Name
planaria	1.593	Noun	Noun
planchet	2.547	Verb	Verb|Name|Noun
planchette	1.593	Noun	Noun
plane	4.980	Noun	Noun|Verb
planed	2.195	Verb	Verb
planeload	1.894	Noun	Noun
planeloads	1.593	Noun	Noun
planer	2.070	Noun	Noun|Adjective
planes	4.244	Noun	Noun|Verb
planet	4.588	Noun	Noun|Name
planetarium	2.614	Noun	Noun|Name
planetary	3.040	Adjective	Adjective
planetoid	1.769	Noun	Noun
planetoids	1.593	Noun	Noun
planets	3.634	Noun	Noun
planished	1.593	Verb	Verb
planishes	1.593	Verb	Verb
plank	3.313	Noun	Noun|Name
planked	1.593	Verb	Verb
planking	1.769	Noun	Noun
planks	2.438	Noun	Noun
plankton	3.200	Noun	Noun|Name
planned	4.503	Verb	Verb|Adjective
planner	3.216	Noun	Noun
planners	2.406	Noun	Noun
planning	4.571	Verb	Verb|Noun
plans	4.749	Noun	Noun|Verb
plant	4.441	Noun	Noun|Verb
plantagenet	2.070	Name	Name
plantain	1.593	Noun	Noun
plantains	1.769	Noun	Noun
plantar	1.991	Noun	Noun
plantation	3.525	Noun	Noun
plantations	2.634	Noun	Noun
planted	3.952	Verb	Verb|Adjective
planter	2.810	Noun	Noun|Name
planters	2.496	Noun	Noun
planting	3.329	Verb	Verb|Noun
plantings	1.593	Noun	Noun
plants	3.981	Noun	Noun|Verb
plaque	3.321	Noun	Noun
plaques	2.246	Noun	Noun
plash	2.070	Name	Name|Noun
plasm	1.769	Noun	Noun
plasma	3.698	Noun	Noun|Name
plasmid	1.593	Noun	Noun
plasmids	2.406	Noun	Noun
plaster	3.422	Noun	Noun|Verb
plastered	3.265	Verb	Verb|Adjective
plasterer	2.137	Noun	Noun
plasterers	1.894	Noun	Noun
plastering	2.246	Verb	Verb|Name
plastic	4.273	Noun	Noun
plasticine	1.593	Name	Name
plasticise	1.593	Verb	Verb
plasticity	1.991	Noun	Noun
plasticized	1.593	Adjective	Adjective
plasticizer	1.593	Noun	Noun
plastics	3.016	Noun	Noun
plastique	2.371	Noun	Noun|Adjective
plastisol	1.593	Noun	Noun
plat	1.991	Noun	Noun|Verb
plate	4.409	Noun	Noun|Verb|Name
plateau	2.769	Noun	Noun
plateaued	1.593	Verb	Verb
plateaus	1.769	Noun	Noun
plated	2.246	Verb	Verb|Adjective
plateful	1.894	Noun	Noun
platelet	2.070	Noun	Noun
platelets	2.571	Noun	Noun
plater	1.769	Noun	Noun
plates	4.097	Noun	Noun
platform	3.789	Noun	Noun
platforms	2.883	Noun	Noun
plating	2.654	Noun	Noun|Verb
platinum	3.385	Noun	Noun
platitude	1.593	Noun	Noun
platitudes	2.292	Noun	Noun
plato	3.296	Name	Name|Noun
platonic	3.091	Adjective	Adjective
platonically	1.894	Adverb	Adverb
platoon	3.859	Noun	Noun|Name
platoons	2.333	Noun	Noun
platter	3.468	Noun	Noun
platters	2.593	Noun	Noun
platypus	1.894	Noun	Noun
plaudits	1.593	Noun	Noun
plausibility	1.991	Noun	Noun
plausible	3.216	Adjective	Adjective
play	5.549	Verb	Verb|Noun|Name
playa	2.654	Noun	Noun|Name
playable	1.894	Adjective	Adjective
playact	1.593	Noun	Noun
playacting	2.333	Verb	Verb|Noun|Name|Adjective
playactor	1.769	Noun	Noun
playas	2.070	Name	Name
playback	3.173	Noun	Noun
playbill	1.991	Name	Name|Verb|Noun
playbook	2.955	Noun	Noun
playbooks	1.769	Noun	Noun
playboy	3.628	Noun	Noun|Name
playboys	3.016	Noun	Noun|Name
playclothes	1.593	Noun	Noun
played	4.750	Verb	Verb|Adjective
player	4.577	Noun	Noun
players	4.234	Noun	Noun|Verb
playful	3.070	Adjective	Adjective
playfully	2.246	Adverb	Adverb|Name
playfulness	2.195	Noun	Noun
playgirl	2.371	Noun	Noun|Verb|Name
playground	3.708	Noun	Noun
playgrounds	2.614	Noun	Noun
playhouse	2.823	Noun	Noun|Name
playhouses	1.894	Noun	Noun
playing	5.168	Verb	Verb|Adjective|Noun
playland	2.070	Name	Name|Noun
playlet	1.894	Noun	Noun
playlist	1.991	Noun	Noun
playlists	1.769	Noun	Noun
playmaker	2.137	Noun	Noun
playmate	3.098	Noun	Noun
playmates	2.769	Noun	Noun
playoff	2.797	Noun	Noun|Verb
playoffs	3.216	Noun	Noun|Verb
playpen	2.848	Noun	Noun|Name
playpens	1.593	Noun	Noun
playroom	2.915	Noun	Noun
playrooms	1.769	Noun	Noun
plays	4.474	Verb	Verb|Noun
playsuit	1.593	Noun	Noun
playsuits	1.593	Noun	Noun
plaything	2.707	Noun	Noun
playthings	2.593	Noun	Noun
playtime	2.982	Noun	Noun
playwright	3.155	Noun	Noun
playwrights	2.333	Noun	Noun
playwriting	1.894	Noun	Noun
plaza	3.772	Noun	Noun
plea	3.836	Noun	Noun|Verb
plead	3.846	Verb	Verb
pleaded	3.124	Verb	Verb
pleader	1.593	Noun	Noun
pleading	3.360	Verb	Verb|Noun|Adjective
pleadings	2.406	Noun	Noun
pleads	2.769	Verb	Verb
pleas	2.614	Noun	Noun
pleasance	1.593	Name	Name
pleasant	4.322	Adjective	Adjective|Name
pleasanter	2.195	Adjective	Adjective
pleasantest	1.769	Adjective	Adjective
pleasantly	3.016	Adverb	Adverb
pleasantness	1.593	Noun	Noun
pleasantries	2.739	Noun	Noun
pleasantry	1.769	Noun	Noun
please	6.041	Adverb	Adverb|Verb
pleased	4.455	Adjective	Adjective|Verb
pleaser	2.246	Noun	Noun
pleasers	1.593	Noun	Noun
pleases	3.532	Verb	Verb
pleasing	3.195	Adjective	Adjective|Verb
pleasingly	1.769	Adverb	Adverb
pleasurable	2.883	Adjective	Adjective
pleasure	4.907	Noun	Noun|Verb
pleasured	2.070	Verb	Verb
pleasurer	1.769	Name	Name
pleasures	3.493	Noun	Noun|Verb
pleasuring	2.070	Verb	Verb|Noun
pleat	1.894	Noun	Noun
pleated	1.991	Adjective	Adjective
pleats	2.438	Noun	Noun
plebe	2.754	Noun	Noun|Verb|Name
plebeian	2.292	Adjective	Adjective|Noun
plebeians	1.593	Noun	Noun
plebes	2.654	Noun	Noun|Verb
plebian	1.593	Adjective	Adjective
plebiscite	1.894	Noun	Noun
plebs	1.593	Noun	Noun
pled	2.406	Verb	Verb|Adjective
pledge	3.838	Noun	Noun|Verb
pledged	3.206	Verb	Verb|Adjective
pledgers	1.593	Noun	Noun
pledges	2.925	Noun	Noun|Verb
pledging	2.593	Verb	Verb|Noun
pleiades	2.137	Noun	Noun
pleistocene	2.246	Adjective	Adjective
plena	1.593	Noun	Noun
plenary	2.070	Adjective	Adjective
plenipotent	1.593	Adjective	Adjective
plenipotentiary	1.769	Adjective	Adjective
plenitude	1.769	Noun	Noun
plenties	1.894	Noun	Noun
plentiful	2.496	Adjective	Adjective
plentifully	1.593	Adverb	Adverb
plenty	4.794	Pronoun	Pronoun|Adverb|Noun
plenum	1.593	Noun	Noun
pleny	1.894	Noun	Noun|Adjective
plesiosaur	1.894	Noun	Noun
plesiosaurus	1.593	Noun	Noun
plethora	2.593	Noun	Noun
plethysmograph	1.593	Noun	Noun
pleura	2.070	Noun	Noun
pleural	2.496	Adjective	Adjective|Noun
pleurisy	2.070	Adjective	Adjective
pleuritic	1.991	Adjective	Adjective
plex	1.991	Noun	Noun|Verb
plexiglas	2.496	Name	Name|Noun
plexiglass	1.769	Verb	Verb|Noun
plexus	2.547	Noun	Noun|Name
pli	1.593	Noun	Noun|Name
pliability	1.593	Noun	Noun
pliable	2.195	Adjective	Adjective
plied	2.195	Verb	Verb|Adjective
pliers	3.070	Noun	Noun
plies	1.894	Verb	Verb
plight	3.098	Noun	Noun
plighted	1.593	Adjective	Adjective
plighting	1.593	Noun	Noun
plimsoll	2.333	Name	Name
plink	2.496	Verb	Verb|Name|Noun
plinking	1.769	Verb	Verb
pliocene	1.769	Name	Name
plod	2.070	Verb	Verb
plodder	1.593	Noun	Noun
plodders	1.769	Noun	Noun
plodding	2.137	Verb	Verb|Adjective
plods	1.769	Verb	Verb
ploesti	1.593	Adjective	Adjective
plonk	1.894	Noun	Noun|Verb
plonked	1.593	Verb	Verb
plonker	2.246	Noun	Noun
plonking	1.991	Verb	Verb
plop	2.935	Verb	Verb|Noun
plopped	2.406	Verb	Verb
plopping	2.137	Verb	Verb|Noun|Name
plops	1.894	Verb	Verb
plosive	1.593	Adjective	Adjective
plot	4.064	Noun	Noun|Verb
plots	3.231	Noun	Noun|Verb
plott	1.593	Noun	Noun
plotted	3.016	Verb	Verb|Adjective
plotter	1.991	Noun	Noun
plotters	2.070	Noun	Noun
plotting	3.251	Verb	Verb|Noun|Adjective
plough	3.032	Verb	Verb|Noun
ploughed	2.333	Verb	Verb|Adjective
ploughing	2.137	Verb	Verb|Noun
ploughs	1.991	Noun	Noun
ploughshares	1.593	Noun	Noun
plow	3.279	Noun	Noun|Verb|Name
plowboy	1.593	Noun	Noun
plowed	2.823	Verb	Verb|Adjective
plowing	2.823	Verb	Verb|Noun
plowman	1.894	Name	Name
plowmen	1.769	Noun	Noun
plows	2.593	Noun	Noun|Verb
plowshares	2.195	Noun	Noun
ploy	3.189	Noun	Noun
ploys	1.593	Noun	Noun
plu	2.333	Name	Name|Noun
pluck	3.367	Verb	Verb|Noun
plucked	3.111	Verb	Verb|Adjective
plucker	1.894	Noun	Noun
pluckers	1.593	Noun	Noun
plucking	2.634	Verb	Verb|Noun
