word	pos	cefr	cefr_all	list
son	n	A1	A1	oxford3000
song	n	A1	A1	oxford3000
soon	adv	A1	A1	oxford3000
sophisticated	adj	B2	B2	oxford5000
sorry	adj|exclam	A1	A1	oxford3000
sort	n|v	A2	A2|B1	oxford3000
soul	n	B2	B2	oxford3000
sound	n|v|adj	A1	A1|C1	oxford3000
soup	n	A1	A1	oxford3000
source	n	A2	A2	oxford3000
south	n|adj|adv	A1	A1	oxford3000
southern	adj	B1	B1	oxford3000
sovereignty	n	C1	C1	oxford5000
space	n	A1	A1	oxford3000
spam	n	C1	C1	oxford5000
span	v|n	C1	C1	oxford5000
spare	adj|v	B2	B2|C1	oxford5000
spark	v	C1	C1	oxford5000
speak	v	A1	A1	oxford3000
speaker	n	A2	A2	oxford3000
special	adj	A1	A1	oxford3000
specialist	n|adj	B2	B2	oxford3000
specialize	v	B1	B1	oxford5000
specialized	adj	C1	C1	oxford5000
species	n	B2	B2	oxford3000
specific	adj	A2	A2	oxford3000
specifically	adv	B1	B1	oxford3000
specification	n	C1	C1	oxford5000
specify	v	B2	B2	oxford5000
specimen	n	C1	C1	oxford5000
spectacle	n	C1	C1	oxford5000
spectacular	adj	B2	B2	oxford5000
spectator	n	B2	B2	oxford5000
spectrum	n	C1	C1	oxford5000
speculate	v	B2	B2	oxford5000
speculation	n	B2	B2	oxford5000
speech	n	A2	A2	oxford3000
speed	n|v	A2	A2|B2	oxford3000
spell	v|n	A1	A1|C1	oxford3000
spelling	n	A1	A1	oxford3000
spend	v	A1	A1	oxford3000
spending	n	B1	B1	oxford3000
sphere	n	C1	C1	oxford5000
spice	n	B2	B2	oxford5000
spicy	adj	B1	B1	oxford3000
spider	n	A2	A2	oxford3000
spill	v	B2	B2	oxford5000
spin	v|n	C1	C1	oxford5000
spine	n	C1	C1	oxford5000
spirit	n	B1	B1	oxford3000
spiritual	adj	B2	B2	oxford3000
spite	n	B2	B2	oxford5000
split	v|n	B2	B2	oxford3000
spoil	v	B2	B2	oxford5000
spoken	adj	B1	B1	oxford3000
spokesman	n	B2	B2	oxford5000
spokesperson	n	B2	B2	oxford5000
spokeswoman	n	B2	B2	oxford5000
sponsor	v|n	B2	B2	oxford3000
sponsorship	n	B2	B2	oxford5000
spoon	n	A2	A2	oxford3000
sport	n	A1	A1	oxford3000
sporting	adj	B2	B2	oxford5000
spot	n|v	B1	B1|B2	oxford3000
spotlight	n	C1	C1	oxford5000
spouse	n	C1	C1	oxford5000
spread	v|n	B1	B1|B2	oxford3000
spring	n|v	A1	A1|B1	oxford3000
spy	n|v	C1	C1	oxford5000
squad	n	C1	C1	oxford5000
square	adj|n	A2	A2	oxford3000
squeeze	v	C1	C1	oxford5000
stab	v	C1	C1	oxford5000
stability	n	C1	C1	oxford5000
stabilize	v	C1	C1	oxford5000
stable	adj	B2	B2	oxford3000
