word	pos	cefr	cefr_all	list
tonight	adv|n	A1	A1	oxford3000
tonne	n	B2	B2	oxford5000
too	adv	A1	A1	oxford3000
tool	n	A2	A2	oxford3000
tooth	n	A1	A1	oxford3000
top	n|adj|v	A2	A2|C1	oxford3000
topic	n	A1	A1	oxford3000
torture	n|v	C1	C1	oxford5000
toss	v	C1	C1	oxford5000
total	adj|n|v	B1	B1|C1	oxford3000
totally	adv	B1	B1	oxford3000
touch	v|n	A2	A2|B1	oxford3000
tough	adj	B2	B2	oxford3000
tour	n|v	A2	A2|B1	oxford3000
tourism	n	A2	A2	oxford3000
tourist	n	A1	A1	oxford3000
tournament	n	B2	B2	oxford5000
towards	prep	A2	A2	oxford3000
towel	n	A2	A2	oxford3000
tower	n	A2	A2	oxford3000
town	n	A1	A1	oxford3000
toxic	adj	C1	C1	oxford5000
toy	n|adj	A2	A2	oxford3000
trace	v|n	B2	B2|C1	oxford5000
track	n|v	A2	A2|B2	oxford3000
trade	n|v	B1	B1	oxford3000
trademark	n	C1	C1	oxford5000
trading	n	B2	B2	oxford5000
tradition	n	A2	A2	oxford3000
traditional	adj	A2	A2	oxford3000
traffic	n	A1	A1	oxford3000
tragedy	n	B2	B2	oxford5000
tragic	adj	B2	B2	oxford5000
trail	n|v	C1	C1	oxford5000
trailer	n	C1	C1	oxford5000
train	n|v	A1	A1|A2	oxford3000
trainer	n	A2	A2	oxford3000
training	n	A2	A2	oxford3000
trait	n	B2	B2	oxford5000
transaction	n	C1	C1	oxford5000
transcript	n	C1	C1	oxford5000
transfer	v|n	B2	B2	oxford3000
transform	v	B2	B2	oxford3000
transformation	n	C1	C1	oxford5000
transit	n	C1	C1	oxford5000
transition	n	B2	B2	oxford3000
translate	v	B1	B1	oxford3000
translation	n	B1	B1	oxford3000
transmission	n	C1	C1	oxford5000
transmit	v	B2	B2	oxford5000
transparency	n	C1	C1	oxford5000
transparent	adj	C1	C1	oxford5000
transport	n|v	A2	A2|B1	oxford3000
transportation	n	B2	B2	oxford5000
trap	v|n	B2	B2	oxford5000
trauma	n	C1	C1	oxford5000
travel	v|n	A1	A1	oxford3000
traveller	n	A2	A2	oxford3000
treasure	n	B2	B2	oxford5000
treat	v	B1	B1	oxford3000
treatment	n	B1	B1	oxford3000
treaty	n	C1	C1	oxford5000
tree	n	A1	A1	oxford3000
tremendous	adj	C1	C1	oxford5000
trend	n	B1	B1	oxford3000
trial	n	B2	B2	oxford3000
tribal	adj	C1	C1	oxford5000
tribe	n	B2	B2	oxford5000
tribunal	n	C1	C1	oxford5000
tribute	n	C1	C1	oxford5000
trick	n|v	B1	B1	oxford3000
trigger	v|n	B2	B2|C1	oxford5000
trillion	number	B2	B2	oxford5000
trio	n	C1	C1	oxford5000
trip	n|v	A1	A1|B2	oxford3000
triumph	n	C1	C1	oxford5000
troop	n	B2	B2	oxford5000
trophy	n	C1	C1	oxford5000
tropical	adj	B2	B2	oxford3000
trouble	n|v	A2	A2|B2	oxford3000
troubled	adj	C1	C1	oxford5000
trousers	n	A1	A1	oxford3000
truck	n	A2	A2	oxford3000
true	adj	A1	A1	oxford3000
truly	adv	B2	B2	oxford3000
trust	n|v	B2	B2	oxford3000
trustee	n	C1	C1	oxford5000
truth	n	B1	B1	oxford3000
try	v|n	A1	A1|B2	oxford3000
tsunami	n	B2	B2	oxford5000
tube	n	B1	B1	oxford3000
tuesday	n	A1	A1	oxford3000
tuition	n	C1	C1	oxford5000
tune	n	B2	B2	oxford3000
tunnel	n	B2	B2	oxford3000
turn	v|n	A1	A1	oxford3000
turnout	n	C1	C1	oxford5000
turnover	n	C1	C1	oxford5000
tv	n	A1	A1	oxford3000
twelve	number	A1	A1	oxford3000
twenty	number	A1	A1	oxford3000
twice	adv	A1	A1	oxford3000
twin	n|adj	A2	A2	oxford3000
twist	v|n	C1	C1	oxford5000
two	number	A1	A1	oxford3000
type	n|v	A1	A1|B1	oxford3000
typical	adj	A2	A2	oxford3000
typically	adv	B1	B1	oxford3000
tyre	n	B1	B1	oxford3000
ugly	adj	B1	B1	oxford3000
ultimate	adj	B2	B2	oxford5000
ultimately	adv	B2	B2	oxford3000
umbrella	n	A1	A1	oxford3000
unable	adj	B1	B1	oxford3000
unacceptable	adj	B2	B2	oxford5000
uncertainty	n	B2	B2	oxford5000
uncle	n	A1	A1	oxford3000
uncomfortable	adj	B1	B1	oxford3000
unconscious	adj	B2	B2	oxford3000
under	prep|adv	A1	A1	oxford3000
undergo	v	B2	B2	oxford5000
undergraduate	n	C1	C1	oxford5000
underground	adj|adv	A2	A2	oxford3000
underlying	adj	C1	C1	oxford5000
undermine	v	C1	C1	oxford5000
understand	v	A1	A1	oxford3000
understanding	n	A2	A2	oxford3000
undertake	v	B2	B2	oxford5000
underwear	n	B1	B1	oxford3000
undoubtedly	adv	C1	C1	oxford5000
unemployed	adj	B1	B1	oxford3000
unemployment	n	B1	B1	oxford3000
unexpected	adj	B2	B2	oxford3000
unfair	adj	B1	B1	oxford3000
unfold	v	B2	B2	oxford5000
unfortunate	adj	B2	B2	oxford5000
unfortunately	adv	A2	A2	oxford3000
unhappy	adj	A2	A2	oxford3000
uniform	n	A2	A2	oxford3000
unify	v	C1	C1	oxford5000
union	n	B1	B1	oxford3000
unique	adj	B2	B2	oxford3000
unit	n	A2	A2	oxford3000
unite	v	B2	B2	oxford5000
united	adj	A2	A2	oxford3000
unity	n	B2	B2	oxford5000
universal	adj	B2	B2	oxford5000
universe	n	B2	B2	oxford3000
university	n	A1	A1	oxford3000
unknown	adj	B2	B2	oxford3000
unless	conj	B1	B1	oxford3000
unlike	prep	B1	B1	oxford3000
unlikely	adj	B1	B1	oxford3000
unnecessary	adj	B1	B1	oxford3000
unpleasant	adj	B1	B1	oxford3000
unprecedented	adj	C1	C1	oxford5000
until	conj|prep	A1	A1	oxford3000
unusual	adj	A2	A2	oxford3000
unveil	v	C1	C1	oxford5000
up	adv|prep	A1	A1	oxford3000
upcoming	adj	C1	C1	oxford5000
update	v|n	B1	B1	oxford3000
upgrade	v|n	C1	C1	oxford5000
uphold	v	C1	C1	oxford5000
upon	prep	B1	B1	oxford3000
upper	adj	B2	B2	oxford3000
upset	adj|v	B1	B1	oxford3000
upstairs	adv|adj	A1	A1|A2	oxford3000
upwards	adv	B2	B2	oxford3000
urban	adj	B2	B2	oxford3000
urge	v	B2	B2	oxford3000
urgent	adj	B2	B2	oxford5000
us	pron	A1	A1	oxford3000
usage	n	B2	B2	oxford5000
use	v|n	A1	A1|A2	oxford3000
used	adj	B1	B1	oxford3000
used to	modal v	A2	A2	oxford3000
useful	adj	A1	A1	oxford3000
useless	adj	B2	B2	oxford5000
user	n	A2	A2	oxford3000
usual	adj	A2	A2	oxford3000
usually	adv	A1	A1	oxford3000
utility	n	C1	C1	oxford5000
utilize	v	C1	C1	oxford5000
utterly	adv	C1	C1	oxford5000
vacation	n	A1	A1	oxford3000
vacuum	n	C1	C1	oxford5000
vague	adj	C1	C1	oxford5000
valid	adj	B2	B2	oxford5000
validity	n	C1	C1	oxford5000
valley	n	A2	A2	oxford3000
valuable	adj	B1	B1	oxford3000
value	n|v	B1	B1|B2	oxford3000
van	n	A2	A2	oxford3000
vanish	v	C1	C1	oxford5000
variable	n|adj	C1	C1	oxford5000
variation	n	B2	B2	oxford5000
varied	adj	C1	C1	oxford5000
variety	n	A2	A2	oxford3000
various	adj	B1	B1	oxford3000
vary	v	B2	B2	oxford3000
vast	adj	B2	B2	oxford3000
vegetable	n	A1	A1	oxford3000
vehicle	n	A2	A2	oxford3000
vein	n	C1	C1	oxford5000
venture	n|v	C1	C1	oxford5000
venue	n	B2	B2	oxford3000
verbal	adj	C1	C1	oxford5000
verdict	n	C1	C1	oxford5000
verify	v	C1	C1	oxford5000
verse	n	C1	C1	oxford5000
version	n	B1	B1	oxford3000
versus	prep	C1	C1	oxford5000
vertical	adj	B2	B2	oxford5000
very	adv|adj	A1	A1|B2	oxford3000
vessel	n	C1	C1	oxford5000
veteran	n	C1	C1	oxford5000
via	prep	B2	B2	oxford3000
viable	adj	C1	C1	oxford5000
vibrant	adj	C1	C1	oxford5000
vice	n	C1	C1	oxford5000
vicious	adj	C1	C1	oxford5000
victim	n	B1	B1	oxford3000
victory	n	B2	B2	oxford3000
video	n	A1	A1	oxford3000
view	n|v	A2	A2|B1	oxford3000
viewer	n	B1	B1	oxford3000
viewpoint	n	B2	B2	oxford5000
village	n	A1	A1	oxford3000
villager	n	C1	C1	oxford5000
violate	v	C1	C1	oxford5000
violation	n	C1	C1	oxford5000
violence	n	B2	B2	oxford3000
violent	adj	B1	B1	oxford3000
virtual	adj	B2	B2	oxford3000
virtue	n	C1	C1	oxford5000
virus	n	A2	A2	oxford3000
visa	n	B2	B2	oxford5000
visible	adj	B2	B2	oxford5000
vision	n	B2	B2	oxford3000
visit	v|n	A1	A1	oxford3000
visitor	n	A1	A1	oxford3000
visual	adj	B2	B2	oxford3000
vital	adj	B2	B2	oxford3000
vitamin	n	B2	B2	oxford3000
vocal	adj	C1	C1	oxford5000
voice	n	A2	A2	oxford3000
volume	n	B2	B2	oxford3000
voluntary	adj	B2	B2	oxford5000
volunteer	n|v	B1	B1	oxford3000
vote	n|v	B1	B1	oxford3000
voting	n	B2	B2	oxford5000
vow	v	C1	C1	oxford5000
vulnerability	n	C1	C1	oxford5000
vulnerable	adj	C1	C1	oxford5000
wage	n	B2	B2	oxford3000
wait	v|n	A1	A1|A2	oxford3000
waiter	n	A1	A1	oxford3000
wake	v	A1	A1	oxford3000
walk	v|n	A1	A1	oxford3000
wall	n	A1	A1	oxford3000
wander	v	B2	B2	oxford5000
want	v	A1	A1	oxford3000
war	n	A2	A2	oxford3000
ward	n	C1	C1	oxford5000
warehouse	n	C1	C1	oxford5000
warfare	n	C1	C1	oxford5000
warm	adj|v	A1	A1|B1	oxford3000
warming	n	B2	B2	oxford5000
warn	v	B1	B1	oxford3000
warning	n	B1	B1	oxford3000
warrant	n|v	C1	C1	oxford5000
warrior	n	C1	C1	oxford5000
wash	v|n	A1	A1|A2	oxford3000
washing	n	A2	A2	oxford3000
waste	n|v|adj	B1	B1	oxford3000
watch	v|n	A1	A1	oxford3000
water	n|v	A1	A1|B1	oxford3000
wave	n|v	A2	A2|B1	oxford3000
way	n|adv	A1	A1|B2	oxford3000
we	pron	A1	A1	oxford3000
weak	adj	A2	A2	oxford3000
weaken	v	C1	C1	oxford5000
weakness	n	B2	B2	oxford3000
wealth	n	B2	B2	oxford3000
wealthy	adj	B2	B2	oxford3000
weapon	n	B1	B1	oxford3000
wear	v	A1	A1	oxford3000
weather	n	A1	A1	oxford3000
weave	v	C1	C1	oxford5000
web	n	A2	A2	oxford3000
website	n	A1	A1	oxford3000
wedding	n	A2	A2	oxford3000
wednesday	n	A1	A1	oxford3000
weed	n	C1	C1	oxford5000
week	n	A1	A1	oxford3000
weekend	n	A1	A1	oxford3000
weekly	adj	B2	B2	oxford5000
weigh	v	B1	B1	oxford3000
weight	n	A2	A2	oxford3000
weird	adj	B2	B2	oxford5000
welcome	exclam|v|adj|n	A1	A1|A2	oxford3000
welfare	n	B2	B2	oxford5000
well	adv|adj|exclam|n	A1	A1|C1	oxford3000
well-being	n	C1	C1	oxford5000
west	n|adj|adv	A1	A1	oxford3000
western	adj	B1	B1	oxford3000
wet	adj	A2	A2	oxford3000
what	pron|det	A1	A1	oxford3000
whatever	det|pron	B1	B1	oxford3000
whatsoever	adv	C1	C1	oxford5000
wheat	n	B2	B2	oxford5000
wheel	n	A2	A2	oxford3000
when	adv|pron|conj	A1	A1	oxford3000
whenever	conj	B1	B1	oxford3000
where	adv|conj	A1	A1	oxford3000
whereas	conj	B2	B2	oxford3000
whereby	adv	C1	C1	oxford5000
wherever	conj	B2	B2	oxford3000
whether	conj	B1	B1	oxford3000
which	pron|det	A1	A1	oxford3000
while	conj|n	A2	A2|B1	oxford3000
whilst	conj	C1	C1	oxford5000
whip	v	C1	C1	oxford5000
whisper	v|n	B2	B2	oxford3000
white	adj|n	A1	A1	oxford3000
who	pron	A1	A1	oxford3000
whoever	pron	B2	B2	oxford5000
whole	adj|n	A2	A2|B1	oxford3000
wholly	adv	C1	C1	oxford5000
whom	pron	B2	B2	oxford3000
whose	det|pron	A2	A2	oxford3000
why	adv	A1	A1	oxford3000
wide	adj	A2	A2	oxford3000
widely	adv	B2	B2	oxford3000
widen	v	C1	C1	oxford5000
widespread	adj	B2	B2	oxford5000
widow	n	C1	C1	oxford5000
width	n	C1	C1	oxford5000
wife	n	A1	A1	oxford3000
wild	adj	A2	A2	oxford3000
wildlife	n	B2	B2	oxford3000
will	modal v|n	A1	A1|B1	oxford3000
willing	adj	B2	B2	oxford3000
willingness	n	C1	C1	oxford5000
win	v|n	A1	A1|B1	oxford3000
wind	v|n	A2	A2|B2	oxford3000
window	n	A1	A1	oxford3000
wine	n	A1	A1	oxford3000
wing	n	B1	B1	oxford3000
winner	n	A2	A2	oxford3000
winter	n	A1	A1	oxford3000
wipe	v	C1	C1	oxford5000
wire	n	B2	B2	oxford3000
wisdom	n	B2	B2	oxford5000
wise	adj	B2	B2	oxford3000
wish	v|n	A2	A2	oxford3000
wit	n	C1	C1	oxford5000
with	prep	A1	A1	oxford3000
withdraw	v	B2	B2	oxford5000
withdrawal	n	C1	C1	oxford5000
within	prep	B1	B1	oxford3000
without	prep	A1	A1	oxford3000
witness	n|v	B2	B2	oxford3000
woman	n	A1	A1	oxford3000
wonder	v|n	B1	B1	oxford3000
wonderful	adj	A1	A1	oxford3000
wood	n	A2	A2	oxford3000
wooden	adj	A2	A2	oxford3000
wool	n	B1	B1	oxford3000
word	n	A1	A1	oxford3000
work	v|n	A1	A1	oxford3000
worker	n	A1	A1	oxford3000
workforce	n	B2	B2	oxford5000
working	adj	A2	A2	oxford3000
workout	n	C1	C1	oxford5000
workplace	n	B2	B2	oxford5000
workshop	n	B2	B2	oxford5000
world	n	A1	A1	oxford3000
worldwide	adj|adv	B1	B1	oxford3000
worm	n	B2	B2	oxford5000
worried	adj	A2	A2	oxford3000
worry	v|n	A2	A2|B1	oxford3000
worse	adj|adv|n	A2	A2|B1|B2	oxford3000
worship	n|v	C1	C1	oxford5000
worst	adj|adv|n	A2	A2|B1|B2	oxford3000
worth	adj|n	B1	B1|B2	oxford3000
worthwhile	adj	C1	C1	oxford5000
worthy	adj	C1	C1	oxford5000
would	modal v	A1	A1	oxford3000
wound	n|v	B2	B2	oxford3000
wow	exclam	A2	A2	oxford3000
wrap	v	B2	B2	oxford3000
wrist	n	B2	B2	oxford5000
write	v	A1	A1	oxford3000
writer	n	A1	A1	oxford3000
writing	n	A1	A1	oxford3000
written	adj	B1	B1	oxford3000
wrong	adj|adv|n	A1	A1|B1|B2	oxford3000
yard	n	B1	B1	oxford3000
yeah	exclam	A1	A1	oxford3000
year	n	A1	A1	oxford3000
yell	v	C1	C1	oxford5000
yellow	adj|n	A1	A1	oxford3000
yes	exclam	A1	A1	oxford3000
yesterday	adv|n	A1	A1	oxford3000
yet	adv|conj	A2	A2|B2	oxford3000
yield	n|v	C1	C1	oxford5000
you	pron	A1	A1	oxford3000
young	adj|n	A1	A1|B1	oxford3000
youngster	n	C1	C1	oxford5000
your	det	A1	A1	oxford3000
yours	pron	A2	A2	oxford3000
yourself	pron	A1	A1	oxford3000
youth	n	B1	B1	oxford3000
zero	number	A2	A2	oxford3000
zone	n	B2	B2	oxford3000
