word	pknown	prevalence	nobs
accountantship	0.6720	0.441	378
accounting	0.9947	2.318	378
accouter	0.2710	-0.603	417
accouterment	0.5867	0.217	392
accoutrement	0.7744	0.744	399
accredit	0.9439	1.550	428
accreditation	0.9444	1.555	414
accredited	0.9877	2.116	407
accrete	0.5566	0.141	433
accretion	0.5935	0.234	401
accretive	0.4403	-0.149	377
accrual	0.7397	0.635	461
accrue	0.9000	1.259	370
accruement	0.8448	1.000	393
acculturate	0.5841	0.210	416
acculturation	0.6121	0.282	348
accumulate	0.9948	2.320	383
accumulation	1.0000	2.576	402
accumulative	0.9926	2.245	403
accumulatively	0.9368	1.494	285
accumulativeness	0.7663	0.718	261
accumulator	0.9676	1.785	401
accuracy	0.9950	2.328	400
accurate	0.9950	2.329	402
accurately	0.9973	2.424	371
accurateness	0.8243	0.919	222
accurse	0.7072	0.539	362
accursed	0.9139	1.339	418
accursedly	0.8069	0.855	233
accursedness	0.7792	0.760	240
accusable	0.9604	1.704	404
accusation	0.9885	2.135	435
accusative	0.8810	1.161	378
accusatively	0.7935	0.808	247
accusatorial	0.8864	1.188	396
accusatorially	0.7583	0.693	240
accusatory	0.9525	1.626	379
accuse	0.9863	2.085	439
accused	0.9974	2.428	382
accuser	0.9784	1.937	371
accusingly	0.9804	1.971	409
accustom	0.9385	1.507	423
accustomed	0.9896	2.162	384
accustomedness	0.5793	0.198	271
ace	0.9922	2.234	383
acerb	0.3307	-0.433	378
acerbate	0.7282	0.600	412
acerbic	0.7597	0.697	387
acerbity	0.5789	0.197	380
acetabulum	0.3209	-0.460	134
acetaldehyde	0.5441	0.110	408
acetaminophen	0.7506	0.668	441
acetanilide	0.1892	-0.869	370
acetate	0.9143	1.342	420
acetated	0.5721	0.180	409
acetazolamide	0.3931	-0.268	145
acetic	0.7129	0.556	425
acetifier	0.3282	-0.440	393
acetify	0.4273	-0.181	454
acetone	0.9438	1.549	409
acetonitrile	0.2213	-0.758	122
acetous	0.3238	-0.452	383
acetum	0.3073	-0.498	384
acetyl	0.7574	0.690	404
acetylation	0.5093	0.023	161
