family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
leak,3k-b,2942,121,4.006,0.9974,C1,,0,v|n,leakage|leakages|leaked|leakier|leakiest|leakiness|leaking|leaks|leaky,,
shortly,3k-b,2556,122,4.003,0.9929,B2,,0,adv,,,
relatives,3k-b,2805,123,4.003,,,,0,n,,,
menu,3k-b,2946,124,3.999,0.9951,A1,,0,n,menus,,
festival,3k-b,2588,125,3.996,0.9952,A1,,0,n,festivals,,
core,3k-b,2535,126,3.993,1.0000,B2,,1,n|adj,cored|cores|coring,,
burden,3k-b,2648,127,3.993,0.9929,C1,,0,n,burdened|burdening|burdens|unburden|unburdened|unburdening|unburdens,,
silk,3k-b,2732,128,3.991,0.9947,B2,,0,n,silken|silkier|silkiest|silkily|silkiness|silks|silky,,
coin,3k-b,2658,129,3.989,0.9950,B1,,0,n,coinage|coinages|coined|coining|coins,,
bench,3k-b,2724,130,3.986,1.0000,C1,,0,n,bencher|benchers|benches,,
grip,3k-b,2615,131,3.986,0.9948,C1,,0,n|v,gripped|gripper|grippers|gripping|grips,,
mortal,3k-b,2587,132,3.981,0.9976,,,0,adj,immortal|immortalise|immortalised|immortalises|immortalising|immortalities|immortality|immortalize|immortalized|immortalizes|immortalizing|immortally|immortals|mortalities|mortality|mortally|mortals,,
interfere,3k-b,2665,133,3.979,0.9853,C1,,0,v,interfered|interference|interferes|interfering,,
retreat,3k-b,2954,134,3.978,0.9975,C1,,0,n|v,retreated|retreating|retreats,,
chart,3k-b,2645,135,3.977,0.9976,A1,,1,n|v,charted|charting|charts|uncharted,,
praise,3k-b,2759,136,3.976,0.9974,B2,,0,n|v,praised|praises|praising,,
scan,3k-b,2863,137,3.974,0.9976,B1,,0,v,scanned|scanner|scanners|scanning|scans,,
civilian,3k-b,2915,138,3.973,0.9949,C1,,0,n|adj,civilians,,
vessel,3k-b,2713,139,3.971,0.9931,C1,,0,n,vessels,,
volunteer,3k-b,2622,140,3.969,0.9956,B1,,0,n|v,volunteered|volunteering|volunteerism|volunteers,,
hint,3k-b,2754,141,3.964,0.9925,C1,,0,n|v,hinted|hinting|hints,,
horror,3k-b,2842,142,3.963,0.9922,B1,,0,n,horrors,,
alliance,3k-b,2561,143,3.960,0.9928,C1,,0,n,alliances,,
tournament,3k-b,2933,144,3.959,1.0000,B2,,0,n,tournaments,,
penalty,3k-b,2540,145,3.959,0.9952,B2,,0,n,penalties,,
hostile,3k-b,2642,146,3.952,1.0000,C1,,0,adj,hostiles|hostilities|hostility|hostilely,,
ritual,3k-b,2903,147,3.952,0.9951,C1,,0,n,ritualisation|ritualised|ritualistic|ritualistically|ritualization|ritualized|ritually|rituals,,
journal,3k-b,2618,148,3.949,1.0000,B1,,1,n,journals|journalese,,
tender,3k-b,2882,149,3.949,1.0000,C1,,0,adj,tenderly|tenderness,,
pepper,3k-b,2999,150,3.945,0.9922,A1,,0,n,peppered|peppers|peppery,,
supreme,3k-b,2599,151,3.943,0.9975,C1,,0,adj,supremely,,
beam,3k-b,2852,152,3.941,0.9976,C1,,0,n,beamed|beaming|beams,,
cease,3k-b,2654,153,3.941,0.9930,C1,,1,v,ceased|ceaseless|ceaselessly|ceases|ceasing|unceasing|unceasingly,,
drain,3k-b,2514,154,3.936,1.0000,C1,,0,v,drainage|drainages|drained|drainer|draining|drains,,
distant,3k-b,2707,155,3.935,0.9974,B2,,0,adj,distantly,,
vulnerable,3k-b,2693,156,3.933,0.9874,C1,,0,adj,invulnerability|invulnerable|vulnerabilities|vulnerability|vulnerably,,
raid,3k-b,2624,157,3.932,0.9810,C1,,0,n|v,raided|raider|raiders|raiding|raids,,
slice,3k-b,2829,158,3.931,0.9975,B1,,0,n|v,sliced|slicer|slicers|slices|slicing|unsliced,,
invasion,3k-b,2941,159,3.930,0.9947,B2,,0,n,invasions,,
spill,3k-b,2975,160,3.928,0.9950,B2,,0,v,spillage|spillages|spilled|spilling|spills|spilt|unspilt,,
senses,3k-b,2694,161,3.928,,,,0,n,sensed|sensing|sensings,,
affection,3k-b,2892,162,3.927,0.9975,C1,,0,n,affectionate|affectionately|affections|affective|affectively,,
tremendous,3k-b,2887,163,3.927,0.9927,C1,,0,adj,tremendously,,
thrill,3k-b,2971,164,3.925,0.9947,,,0,n,thrilled|thriller|thrillers|thrilling|thrills,,
perspective,3k-b,2551,165,3.915,0.9973,B2,,1,n,perspectival|perspectives,,
shield,3k-b,2831,166,3.914,0.9952,,,0,n,shielded|shielding|shields|unshielded,,
pad,3k-b,2961,167,3.911,0.9905,C1,,0,n,padded|padding|pads,,
scandal,3k-b,2944,168,3.910,0.9928,B2,,0,n,scandalise|scandalised|scandalises|scandalising|scandalize|scandalized|scandalizes|scandalizing|scandalous|scandals|scandalously,,
versus,3k-b,2988,169,3.907,0.9950,C1,,0,prep,vs,,
pale,3k-b,2537,170,3.905,0.9976,B1,,0,adj,paled|paleness|paler|pales|palest,,
manual,3k-b,2668,171,3.904,1.0000,,,1,n,manually|manuals,,
aggressive,3k-b,2877,172,3.900,0.9977,B2,,0,adj,aggressively|aggressiveness|aggressivenesses,,
whisper,3k-b,2532,173,3.898,0.9949,B2,,0,v|n,whispered|whisperer|whisperers|whispering|whispers,,
exclusive,3k-b,2516,174,3.893,0.9974,C1,,0,adj,exclusively|exclusiveness|exclusivity,,
liquid,3k-b,2609,175,3.890,0.9977,B1,,0,n|adj,liquidities|liquidity|liquids,,
instinct,3k-b,2722,176,3.884,0.9977,C1,,0,n,instinctive|instinctively|instincts|instinctual|instinctually,,
embrace,3k-b,2900,177,3.880,1.0000,B2,,0,v,embraced|embraces|embracing,,
genetic,3k-b,2808,178,3.878,1.0000,B2,,0,adj,genetically|geneticist|geneticists|genetics,,
legitimate,3k-b,2650,179,3.877,0.9951,C1,,0,adj,illegitimacy|illegitimate|illegitimately|legit|legitimacy|legitimated|legitimately|legitimates|legitimating|legitimation,,
mobile,3k-b,2608,180,3.874,0.9921,A2,,0,adj|n,immobile|immobility|mobiles|mobilities|mobility,,
gesture,3k-b,2687,181,3.872,0.9947,B2,,0,n,gestured|gestures|gesturing,,
