family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
exercise,2k-a,1215,285,4.248,0.9976,A1,,0,n|v,exercisable|exercised|exercises|exercising,,
background,2k-a,1422,286,4.246,0.9948,A2,,0,n,backgrounded|backgrounding|backgrounds,,
provide,2k-a,1003,287,4.241,0.9918,A2,,0,v,provided|provider|providers|provides|providing,,
mass,2k-a,1332,288,4.237,1.0000,B2,,0,n|adj,massed|masses|massing,,
electric,2k-a,1289,289,4.234,1.0000,A2,,0,adj,electrical|electrically|electrician|electricians|electricity|electrics,,
demand,2k-a,1075,290,4.233,0.9928,B2,,0,n|v,demanded|demanding|demands|undemanding,,
current,2k-a,1080,291,4.231,0.9947,B1,,0,adj|n,currently|currents,,
describe,2k-a,1070,292,4.230,0.9972,A1,,0,v,described|describer|describers|describes|describing|indescribable|indescribably,,
council,2k-a,1013,293,4.228,0.9881,B2,,0,n,cllr|cllrs|coun|councillor|councillors|councilor|councils,,
tone,2k-a,1461,294,4.227,0.9973,B2,,0,n,tonal|tonality|toned|toneless|tonelessly|toner|toners|tones|toning,,
instance,2k-a,1280,295,4.225,0.9931,B2,,1,n,instanced|instances,,
goal,2k-a,1256,296,4.224,0.9924,A2,,1,n,goalless|goals,,
average,2k-a,1269,297,4.221,1.0000,A2,,0,adj|n|v,averaged|averagely|averages|averaging,,
occasion,2k-a,1154,298,4.219,0.9947,B1,,0,n,occasional|occasionally|occasioned|occasioning|occasions,,
politics,2k-a,1006,299,4.219,0.9877,B1,,0,n,nonpolitical|politic|political|politically|politician|politicians|politicisation|politicise|politicised|politicises|politicising|politicization|politicize|politicized|politicizes|politicizing|politicking|unpolitical|impolitic,,
mix,2k-a,1344,300,4.214,1.0000,B1,,0,v|n,mixed|mixer|mixers|mixes|mixing|unmixed,,
version,2k-a,1290,301,4.210,1.0000,B1,,1,n,versions,,
